2020-01-09 18:06:53.637  INFO 28042 --- [http-nio-8761-exec-6] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKERS/192.168.10.67:trackers with status DOWN (replication=false)
2020-01-09 18:06:53.644  INFO 28042 --- [http-nio-8761-exec-7] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TRACKERS/192.168.10.67:trackers (replication=false)
2020-01-09 18:06:54.153  INFO 28042 --- [http-nio-8761-exec-10] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKERS/192.168.10.67:trackers with status DOWN (replication=true)
2020-01-09 18:06:54.154  INFO 28042 --- [http-nio-8761-exec-10] c.n.e.registry.AbstractInstanceRegistry  : Cancelled instance TRACKERS/192.168.10.67:trackers (replication=true)
2020-01-09 18:06:58.922  INFO 28042 --- [http-nio-8761-exec-2] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status UP (replication=false)
2020-01-09 18:06:59.442  INFO 28042 --- [http-nio-8761-exec-3] c.n.e.registry.AbstractInstanceRegistry  : Registered instance TRACKER/192.168.10.67:tracker:8082 with status UP (replication=true)
2020-01-09 18:07:12.946  INFO 28042 --- [Eureka-EvictionTimer] c.n.e.registry.AbstractInstanceRegistry  : Running the evict task with compensationTime 0ms
2020-01-09 18:08:02.212  INFO 28042 --- [SpringContextShutdownHook] o.s.c.n.e.s.EurekaServiceRegistry        : Unregistering application REGISTRY with eureka with status DOWN
2020-01-09 18:08:02.214  INFO 28042 --- [SpringContextShutdownHook] c.n.eureka.DefaultEurekaServerContext    : Shutting down ...
2020-01-09 18:08:02.215  INFO 28042 --- [SpringContextShutdownHook] c.n.eureka.DefaultEurekaServerContext    : Shut down
2020-01-09 18:08:02.217  INFO 28042 --- [SpringContextShutdownHook] o.s.s.concurrent.ThreadPoolTaskExecutor  : Shutting down ExecutorService 'applicationTaskExecutor'
2020-01-09 18:08:02.221  INFO 28042 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Shutting down DiscoveryClient ...
2020-01-09 18:08:02.221  INFO 28042 --- [SpringContextShutdownHook] com.netflix.discovery.DiscoveryClient    : Completed shut down of DiscoveryClient
2020-01-09 18:08:05.259  INFO 29050 --- [main] c.c.c.ConfigServicePropertySourceLocator : Fetching config from server at : http://localhost:8888
2020-01-09 18:08:05.793  INFO 29050 --- [main] c.c.c.ConfigServicePropertySourceLocator : Located environment: name=registry, profiles=[dev], label=null, version=null, state=null
2020-01-09 18:08:05.794  INFO 29050 --- [main] b.c.PropertySourceBootstrapConfiguration : Located property source: [BootstrapPropertySource {name='bootstrapProperties-classpath:/registry-service/registry-dev.yml'}, BootstrapPropertySource {name='bootstrapProperties-classpath:/registry-service/registry.yml'}]
2020-01-09 18:08:05.824  INFO 29050 --- [main] s.p.f.r.FleetRegistryServerApplication   : The following profiles are active: dev
2020-01-09 18:08:06.412  WARN 29050 --- [main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
